tx_month,dpd90_rate_pct,tx_cnt
2022-01,33.33,297
2022-02,5.1,314
2022-03,11.78,450
2022-04,10.04,478
2022-05,5.95,504
2022-06,5.23,497
2022-07,9.11,483
2022-08,11.73,827
2022-09,27.65,886
2022-10,5.45,606
2022-11,26.4,1360
2022-12,26.21,1503
2023-01,11.18,465
2023-02,8.94,425
2023-03,11.22,918
2023-04,13.07,972
2023-05,10.71,896
2023-06,9.19,729
2023-07,11.98,751
2023-08,13.27,1447
2023-09,8.24,1578
2023-10,10.14,1016
2023-11,20.06,2423
2023-12,14.21,2668
2024-01,35.79,665
2024-02,30.25,605
2024-03,17.41,1597
2024-04,16.66,1591
2024-05,24.33,1488
2024-06,26.92,1174
2024-07,38.35,1348
2024-08,36.18,2595
2024-09,96.91,2879
2024-10,100.0,2180
2024-11,100.0,6003
2024-12,100.0,5
