month,tx_count,tx_amount
2022-01,297,78078.88
2022-02,314,146428.11
2022-03,450,150563.88
2022-04,478,154956.33
2022-05,504,238654.0
2022-06,497,254050.98
2022-07,483,182159.17
2022-08,827,306087.51
2022-09,886,278875.88
2022-10,606,267910.66
2022-11,1360,432752.42
2022-12,1503,463702.7
2023-01,465,224346.28
2023-02,425,181405.39
2023-03,918,343336.63
2023-04,972,343795.33
2023-05,896,438048.41
2023-06,729,363684.81
2023-07,751,296517.78
2023-08,1447,537391.57
2023-09,1578,743804.37
2023-10,1016,515740.49
2023-11,2423,889965.82
2023-12,2668,1231122.18
2024-01,665,245103.96
2024-02,605,194921.17
2024-03,1597,688981.42
2024-04,1591,785213.08
2024-05,1488,607347.83
2024-06,1174,418896.7
2024-07,1348,643379.65
2024-08,2595,1142019.75
2024-09,2879,1392094.44
2024-10,2180,956599.28
2024-11,6003,2372425.7
2024-12,5,5467.21
