cohort_month,month_plus,dpd90_cum_pct
2022-01,3,8.81
2022-01,4,14.58
2022-01,5,23.73
2022-01,6,30.85
2022-01,7,32.54
2022-01,8,33.56
2022-02,3,1.65
2022-02,4,3.3
2022-02,5,3.96
2022-02,6,4.62
2022-02,7,4.95
2022-03,3,2.43
2022-03,4,3.88
2022-03,5,6.8
2022-03,6,8.5
2022-03,8,9.71
2022-04,3,2.62
2022-04,4,4.76
2022-04,5,5.95
2022-04,6,8.1
2022-04,8,8.81
2022-05,3,0.93
2022-05,4,1.63
2022-05,5,2.33
2022-05,6,3.49
2022-05,7,3.95
2022-05,8,4.19
2022-05,10,4.42
2022-06,3,1.13
2022-06,4,1.59
2022-06,5,2.49
2022-06,6,3.63
2022-06,8,3.85
2022-06,9,4.08
2022-06,11,4.31
2022-07,3,1.65
2022-07,4,3.07
2022-07,5,6.6
2022-07,6,8.49
2022-07,7,8.96
2022-07,8,9.43
2022-07,14,9.67
2022-08,3,2.35
2022-08,4,4.55
2022-08,5,7.68
2022-08,6,10.19
2022-08,7,10.5
2022-08,8,10.97
2022-08,9,11.13
2022-08,10,11.29
2022-08,12,11.6
2022-08,14,11.76
2022-09,3,8.7
2022-09,4,17.08
2022-09,5,24.63
2022-09,6,31.36
2022-09,7,32.18
2022-09,8,33.17
2022-09,22,33.33
2022-10,3,0.68
2022-10,4,1.36
2022-10,5,1.59
2022-10,6,2.95
2022-11,3,8.84
2022-11,4,15.57
2022-11,5,25.28
2022-11,6,31.51
2022-11,7,32.25
2022-11,8,32.75
2022-11,11,32.88
2022-12,3,8.72
2022-12,4,17.56
2022-12,5,24.53
2022-12,6,30.64
2022-12,7,31.76
2022-12,8,32.75
2022-12,12,32.88
2023-01,3,0.65
2023-01,4,0.97
2023-01,5,2.92
2023-01,6,3.25
2023-01,7,3.57
2023-01,8,3.9
2023-01,9,4.22
2023-01,13,4.55
2023-01,26,5.19
2023-02,3,0.97
2023-02,4,2.26
2023-02,5,3.87
2023-02,6,4.52
2023-02,9,4.84
2023-02,12,5.16
2023-02,25,5.81
2023-03,3,0.67
2023-03,4,1.8
2023-03,5,3.15
2023-03,6,4.27
2023-03,24,4.72
2023-04,3,1.75
2023-04,4,3.94
2023-04,5,5.03
2023-04,6,5.91
2023-04,7,6.56
2023-04,11,6.78
2023-04,23,7.0
2023-05,3,0.44
2023-05,4,0.66
2023-05,5,1.09
2023-05,6,2.19
2023-05,22,3.5
2023-06,3,0.89
2023-06,4,1.12
2023-06,5,1.79
2023-06,6,2.91
2023-06,21,4.03
2023-07,3,1.99
2023-07,4,4.42
2023-07,5,5.52
2023-07,6,6.62
2023-07,7,6.84
2023-07,8,7.95
2023-07,20,8.17
2023-08,3,2.48
2023-08,4,4.35
2023-08,5,5.43
2023-08,6,7.14
2023-08,7,7.3
2023-08,8,7.92
2023-08,9,8.07
2023-08,19,8.23
2023-09,3,0.16
2023-09,4,0.47
2023-09,5,0.93
2023-09,6,1.56
2023-09,7,1.71
2023-09,18,2.96
2023-09,19,3.12
2023-10,3,0.22
2023-10,4,0.66
2023-10,5,1.31
2023-10,6,1.97
2023-10,8,2.19
2023-10,9,2.41
2023-10,17,3.5
2023-11,3,8.17
2023-11,4,15.87
2023-11,5,22.0
2023-11,6,26.8
2023-11,7,27.16
2023-11,8,27.64
2023-11,10,27.76
2023-11,12,27.88
2023-11,13,28.0
2023-11,16,28.49
2023-12,3,0.95
2023-12,4,2.02
2023-12,5,2.62
2023-12,6,3.21
2023-12,7,3.33
2023-12,8,3.57
2023-12,11,3.69
2023-12,13,3.8
2023-12,15,5.11
2024-01,3,13.68
2024-01,4,22.89
2024-01,5,31.05
2024-01,6,38.95
2024-01,7,40.79
2024-01,8,42.11
2024-01,9,42.37
2024-01,10,42.63
2024-01,14,44.21
2024-01,15,44.47
2024-02,3,9.97
2024-02,4,16.8
2024-02,5,26.77
2024-02,6,34.91
2024-02,7,37.01
2024-02,8,37.8
2024-02,13,38.32
2024-03,3,0.74
2024-03,4,1.68
2024-03,5,3.72
2024-03,6,5.59
2024-03,8,6.15
2024-03,9,6.33
2024-03,12,10.43
2024-03,13,10.8
2024-04,4,0.38
2024-04,5,0.75
2024-04,6,0.94
2024-04,11,8.82
2024-04,12,9.01
2024-05,3,9.54
2024-05,4,17.06
2024-05,5,22.75
2024-05,6,30.46
2024-05,7,31.19
2024-05,8,32.84
2024-05,9,33.03
2024-05,10,33.94
2024-06,3,9.54
2024-06,4,18.53
2024-06,5,26.61
2024-06,6,33.03
2024-06,7,33.58
2024-06,8,33.94
2024-06,9,35.05
2024-07,3,0.56
2024-07,4,1.11
2024-07,6,1.67
2024-07,7,1.86
2024-07,8,34.51
2024-07,9,34.69
2024-08,3,1.41
2024-08,4,2.81
2024-08,5,3.96
2024-08,6,6.01
2024-08,7,28.26
2024-08,8,28.77
2024-09,3,0.27
2024-09,4,0.4
2024-09,5,0.8
2024-09,6,99.34
2024-09,7,99.73
2024-10,3,1.22
2024-10,4,2.45
2024-10,5,99.48
2024-10,6,100.0
2024-11,3,9.81
2024-11,4,100.0
